Wall time,Step,Value
1680409456.7220304,2,0.07608695328235626
1680409504.2743587,4,0.10869564861059189
1680409528.0548263,5,0.054347824305295944
1680409574.0783267,7,0.19565217196941376
1680409621.696771,9,0.19565217196941376
1680409645.6509974,10,0.15217390656471252
1680409669.7109842,11,0.21739129722118378
1680409693.48338,12,0.18478260934352875
1680409717.3201332,13,0.239130437374115
1680409741.524427,14,0.260869562625885
1680409765.5617728,15,0.25
1680409789.6393223,16,0.19565217196941376
1680409813.8914385,17,0.25
1680409838.257242,18,0.14130434393882751
1680409862.2244518,19,0.29347825050354004
1680409910.8164759,21,0.28260868787765503
1680409958.1347928,23,0.19565217196941376
1680409981.8445678,24,0.20652173459529877
1680410102.366019,29,0.260869562625885
1680410125.701444,30,0.31521740555763245
1680410149.4259872,31,0.25
1680410173.4933696,32,0.19565217196941376
1680410197.9634438,33,0.19565217196941376
1680410246.293559,35,0.28260868787765503
1680410318.0873764,38,0.22826087474822998
1680410342.416575,39,0.32608696818351746
1680410391.1773658,41,0.29347825050354004
1680410415.2945585,42,0.31521740555763245
1680410439.5777931,43,0.28260868787765503
1680410463.7864668,44,0.29347825050354004
1680410511.6780994,46,0.3586956560611725
1680410559.3460274,48,0.31521740555763245
1680410583.0283635,49,0.3586956560611725
1680410655.163137,52,0.239130437374115
1680410679.3873856,53,0.30434781312942505
1680410703.6293752,54,0.3586956560611725
1680410727.7441347,55,0.3586956560611725
1680410751.8196263,56,0.3804347813129425
1680410824.6877763,59,0.3695652186870575
1680410848.9146018,60,0.31521740555763245
1680410896.9747193,62,0.32608696818351746
1680410944.7638385,64,0.3913043439388275
1680410968.6849098,65,0.33695653080940247
1680410992.3293812,66,0.41304346919059753
1680411016.3124921,67,0.31521740555763245
1680411040.276098,68,0.31521740555763245
1680411088.6342707,70,0.41304346919059753
1680411112.2523727,71,0.3586956560611725
1680411136.3143203,72,0.3913043439388275
1680411160.3365743,73,0.41304346919059753
1680411208.556596,75,0.30434781312942505
1680411257.2377636,77,0.3586956560611725
1680411280.9583282,78,0.43478259444236755
1680411329.224231,80,0.3586956560611725
1680411353.1746542,81,0.45652174949645996
1680411400.9983392,83,0.41304346919059753
1680411425.4881027,84,0.3804347813129425
1680411449.1984382,85,0.3913043439388275
1680411473.2239892,86,0.41304346919059753
1680411497.452145,87,0.43478259444236755
1680411521.2671626,88,0.41304346919059753
1680411569.8069444,90,0.42391303181648254
1680411593.8141973,91,0.44565218687057495
1680411618.171031,92,0.3804347813129425
1680411642.1779075,93,0.45652174949645996
1680411762.323826,98,0.3804347813129425
1680411834.3543186,101,0.3586956560611725
1680411882.441738,103,0.42391303181648254
1680411906.2781694,104,0.42391303181648254
1680411930.0950162,105,0.3478260934352875
1680412098.5108314,112,0.5
1680412170.7676075,115,0.43478259444236755
1680412218.3765087,117,0.41304346919059753
1680412242.5819247,118,0.43478259444236755
1680412266.5856586,119,0.42391303181648254
1680412362.4104114,123,0.41304346919059753
1680412386.842502,124,0.5760869383811951
1680412411.0028672,125,0.47826087474823
1680412483.6038034,128,0.4021739065647125
1680412508.1376138,129,0.46739131212234497
1680412580.387862,132,0.43478259444236755
1680412652.2592132,135,0.45652174949645996
1680412676.1729095,136,0.3804347813129425
1680412724.2896326,138,0.47826087474823
1680412772.5152154,140,0.4021739065647125
1680412796.430447,141,0.5
1680412820.558336,142,0.42391303181648254
1680412844.3661134,143,0.5760869383811951
1680412868.5437384,144,0.54347825050354
1680412892.7258494,145,0.54347825050354
1680412940.7663627,147,0.52173912525177
1680412965.0101912,148,0.532608687877655
1680412989.3950582,149,0.46739131212234497
1680413062.9673758,152,0.46739131212234497
1680413087.0560596,153,0.45652174949645996
1680413111.354714,154,0.5652173757553101
1680413159.149625,156,0.45652174949645996
1680413183.2906256,157,0.47826087474823
1680413206.9686656,158,0.44565218687057495
1680413255.1422138,160,0.47826087474823
1680413279.045297,161,0.489130437374115
1680413327.4242167,163,0.54347825050354
1680413351.6312127,164,0.554347813129425
1680413399.2502635,166,0.47826087474823
1680413423.655815,167,0.45652174949645996
1680413447.9624176,168,0.44565218687057495
1680413496.082254,170,0.52173912525177
1680413592.4591255,174,0.54347825050354
1680413617.0207083,175,0.554347813129425
1680413641.2475524,176,0.5652173757553101
1680413665.421096,177,0.54347825050354
1680413713.499063,179,0.6304348111152649
1680413737.5118651,180,0.510869562625885
1680413785.1698847,182,0.5
1680413833.5632489,184,0.5
1680413857.5884714,185,0.532608687877655
1680413881.9480107,186,0.5760869383811951
1680413906.0888617,187,0.5652173757553101
1680413954.7864559,189,0.6413043737411499
1680413979.3770216,190,0.532608687877655
1680414149.0092201,197,0.489130437374115
1680414245.1704974,201,0.47826087474823
1680414342.8938944,205,0.554347813129425
1680414366.8555644,206,0.5978260636329651
1680414391.0235474,207,0.5
1680414490.7276683,211,0.6086956262588501
1680414514.3639112,212,0.532608687877655
1680414538.3717504,213,0.5869565010070801
1680414562.4487734,214,0.5978260636329651
1680414638.4364862,217,0.5978260636329651
1680414662.2808864,218,0.489130437374115
1680414686.3448596,219,0.489130437374115
1680414710.4981017,220,0.54347825050354
1680414734.6897485,221,0.554347813129425
1680414759.1943643,222,0.6847826242446899
1680414807.5014849,224,0.5869565010070801
1680414831.6277835,225,0.5869565010070801
1680414855.5934856,226,0.5978260636329651
1680414904.5619297,228,0.554347813129425
1680414928.295909,229,0.510869562625885
1680414951.8690553,230,0.6304348111152649
1680414975.687915,231,0.6521739363670349
1680415000.496944,232,0.6304348111152649
